Division,Category,Gene_Symbol
Core matrisome,Collagens,COL10A1
Core matrisome,Collagens,COL11A1
Core matrisome,Collagens,COL11A2
Core matrisome,Collagens,COL12A1
Core matrisome,Collagens,COL13A1
Core matrisome,Collagens,COL14A1
Core matrisome,Collagens,COL15A1
Core matrisome,Collagens,COL16A1
Core matrisome,Collagens,COL17A1
Core matrisome,Collagens,COL18A1
Core matrisome,Collagens,COL19A1
Core matrisome,Collagens,COL1A1
Core matrisome,Collagens,COL1A2
Core matrisome,Collagens,COL20A1
Core matrisome,Collagens,COL21A1
Core matrisome,Collagens,COL22A1
Core matrisome,Collagens,COL23A1
Core matrisome,Collagens,COL24A1
Core matrisome,Collagens,COL25A1
Core matrisome,Collagens,COL26A1
Core matrisome,Collagens,COL27A1
Core matrisome,Collagens,COL28A1
Core matrisome,Collagens,COL2A1
Core matrisome,Collagens,COL3A1
Core matrisome,Collagens,COL4A1
Core matrisome,Collagens,COL4A2
Core matrisome,Collagens,COL4A3
Core matrisome,Collagens,COL4A4
Core matrisome,Collagens,COL4A5
Core matrisome,Collagens,COL4A6
Core matrisome,Collagens,COL5A1
Core matrisome,Collagens,COL5A2
Core matrisome,Collagens,COL5A3
Core matrisome,Collagens,COL6A1
Core matrisome,Collagens,COL6A2
Core matrisome,Collagens,COL6A3
Core matrisome,Collagens,COL6A5
Core matrisome,Collagens,COL6A6
Core matrisome,Collagens,COL7A1
Core matrisome,Collagens,COL8A1
Core matrisome,Collagens,COL8A2
Core matrisome,Collagens,COL9A1
Core matrisome,Collagens,COL9A2
Core matrisome,Collagens,COL9A3
Core matrisome,Collagens,COL6A4
Core matrisome,ECM glycoproteins,ABI3BP
Core matrisome,ECM glycoproteins,ADIPOQ
Core matrisome,ECM glycoproteins,AEBP1
Core matrisome,ECM glycoproteins,AGRN
Core matrisome,ECM glycoproteins,AMBN
Core matrisome,ECM glycoproteins,AMELX
Core matrisome,ECM glycoproteins,AMELY
Core matrisome,ECM glycoproteins,BGLAP
Core matrisome,ECM glycoproteins,BMPER
Core matrisome,ECM glycoproteins,BSPH1
Core matrisome,ECM glycoproteins,CDCP2
Core matrisome,ECM glycoproteins,CILP
Core matrisome,ECM glycoproteins,CILP2
Core matrisome,ECM glycoproteins,COCH
Core matrisome,ECM glycoproteins,COLQ
Core matrisome,ECM glycoproteins,COMP
Core matrisome,ECM glycoproteins,CRELD1
Core matrisome,ECM glycoproteins,CRELD2
Core matrisome,ECM glycoproteins,CRIM1
Core matrisome,ECM glycoproteins,CRISPLD1
Core matrisome,ECM glycoproteins,CRISPLD2
Core matrisome,ECM glycoproteins,CTGF
Core matrisome,ECM glycoproteins,CTHRC1
Core matrisome,ECM glycoproteins,CYR61
Core matrisome,ECM glycoproteins,DDX26B
Core matrisome,ECM glycoproteins,DMBT1
Core matrisome,ECM glycoproteins,DMP1
Core matrisome,ECM glycoproteins,DPT
Core matrisome,ECM glycoproteins,DSPP
Core matrisome,ECM glycoproteins,ECM1
Core matrisome,ECM glycoproteins,ECM2
Core matrisome,ECM glycoproteins,EDIL3
Core matrisome,ECM glycoproteins,EFEMP1
Core matrisome,ECM glycoproteins,EFEMP2
Core matrisome,ECM glycoproteins,EGFLAM
Core matrisome,ECM glycoproteins,ELN
Core matrisome,ECM glycoproteins,ELSPBP1
Core matrisome,ECM glycoproteins,EMID1
Core matrisome,ECM glycoproteins,EMILIN1
Core matrisome,ECM glycoproteins,EMILIN2
Core matrisome,ECM glycoproteins,EMILIN3
Core matrisome,ECM glycoproteins,EYS
Core matrisome,ECM glycoproteins,FBLN1
Core matrisome,ECM glycoproteins,FBLN2
Core matrisome,ECM glycoproteins,FBLN5
Core matrisome,ECM glycoproteins,FBLN7
Core matrisome,ECM glycoproteins,FBN1
Core matrisome,ECM glycoproteins,FBN2
Core matrisome,ECM glycoproteins,FBN3
Core matrisome,ECM glycoproteins,FGA
Core matrisome,ECM glycoproteins,FGB
Core matrisome,ECM glycoproteins,FGG
Core matrisome,ECM glycoproteins,FGL1
Core matrisome,ECM glycoproteins,FGL2
Core matrisome,ECM glycoproteins,FN1
Core matrisome,ECM glycoproteins,FNDC1
Core matrisome,ECM glycoproteins,FNDC7
Core matrisome,ECM glycoproteins,FNDC8
Core matrisome,ECM glycoproteins,FRAS1
Core matrisome,ECM glycoproteins,GAS6
Core matrisome,ECM glycoproteins,GLDN
Core matrisome,ECM glycoproteins,HMCN1
Core matrisome,ECM glycoproteins,HMCN2
Core matrisome,ECM glycoproteins,IBSP
Core matrisome,ECM glycoproteins,IGFALS
Core matrisome,ECM glycoproteins,IGFBP1
Core matrisome,ECM glycoproteins,IGFBP2
Core matrisome,ECM glycoproteins,IGFBP3
Core matrisome,ECM glycoproteins,IGFBP4
Core matrisome,ECM glycoproteins,IGFBP5
Core matrisome,ECM glycoproteins,IGFBP6
Core matrisome,ECM glycoproteins,IGFBP7
Core matrisome,ECM glycoproteins,IGFBPL1
Core matrisome,ECM glycoproteins,IGSF10
Core matrisome,ECM glycoproteins,KAL1
Core matrisome,ECM glycoproteins,KCP
Core matrisome,ECM glycoproteins,LAMA1
Core matrisome,ECM glycoproteins,LAMA2
Core matrisome,ECM glycoproteins,LAMA3
Core matrisome,ECM glycoproteins,LAMA4
Core matrisome,ECM glycoproteins,LAMA5
Core matrisome,ECM glycoproteins,LAMB1
Core matrisome,ECM glycoproteins,LAMB2
Core matrisome,ECM glycoproteins,LAMB3
Core matrisome,ECM glycoproteins,LAMB4
Core matrisome,ECM glycoproteins,LAMC1
Core matrisome,ECM glycoproteins,LAMC2
Core matrisome,ECM glycoproteins,LAMC3
Core matrisome,ECM glycoproteins,LGI1
Core matrisome,ECM glycoproteins,LGI2
Core matrisome,ECM glycoproteins,LGI3
Core matrisome,ECM glycoproteins,LGI4
Core matrisome,ECM glycoproteins,LRG1
Core matrisome,ECM glycoproteins,LTBP1
Core matrisome,ECM glycoproteins,LTBP2
Core matrisome,ECM glycoproteins,LTBP3
Core matrisome,ECM glycoproteins,LTBP4
Core matrisome,ECM glycoproteins,MATN1
Core matrisome,ECM glycoproteins,MATN2
Core matrisome,ECM glycoproteins,MATN3
Core matrisome,ECM glycoproteins,MATN4
Core matrisome,ECM glycoproteins,MEPE
Core matrisome,ECM glycoproteins,MFAP1
Core matrisome,ECM glycoproteins,MFAP2
Core matrisome,ECM glycoproteins,MFAP3
Core matrisome,ECM glycoproteins,MFAP4
Core matrisome,ECM glycoproteins,MFAP5
Core matrisome,ECM glycoproteins,MFGE8
Core matrisome,ECM glycoproteins,MGP
Core matrisome,ECM glycoproteins,MMRN1
Core matrisome,ECM glycoproteins,MMRN2
Core matrisome,ECM glycoproteins,MXRA5
Core matrisome,ECM glycoproteins,NDNF
Core matrisome,ECM glycoproteins,NELL1
Core matrisome,ECM glycoproteins,NELL2
Core matrisome,ECM glycoproteins,NID1
Core matrisome,ECM glycoproteins,NID2
Core matrisome,ECM glycoproteins,NOV
Core matrisome,ECM glycoproteins,NPNT
Core matrisome,ECM glycoproteins,NTN1
Core matrisome,ECM glycoproteins,NTN3
Core matrisome,ECM glycoproteins,NTN4
Core matrisome,ECM glycoproteins,NTN5
Core matrisome,ECM glycoproteins,NTNG1
Core matrisome,ECM glycoproteins,NTNG2
Core matrisome,ECM glycoproteins,OIT3
Core matrisome,ECM glycoproteins,OTOG
Core matrisome,ECM glycoproteins,OTOL1
Core matrisome,ECM glycoproteins,PAPLN
Core matrisome,ECM glycoproteins,PCOLCE
Core matrisome,ECM glycoproteins,PCOLCE2
Core matrisome,ECM glycoproteins,POMZP3
Core matrisome,ECM glycoproteins,POSTN
Core matrisome,ECM glycoproteins,PXDN
Core matrisome,ECM glycoproteins,PXDNL
Core matrisome,ECM glycoproteins,RELN
Core matrisome,ECM glycoproteins,RSPO1
Core matrisome,ECM glycoproteins,RSPO2
Core matrisome,ECM glycoproteins,RSPO3
Core matrisome,ECM glycoproteins,RSPO4
Core matrisome,ECM glycoproteins,SBSPON
Core matrisome,ECM glycoproteins,SLIT1
Core matrisome,ECM glycoproteins,SLIT2
Core matrisome,ECM glycoproteins,SLIT3
Core matrisome,ECM glycoproteins,SMOC1
Core matrisome,ECM glycoproteins,SMOC2
Core matrisome,ECM glycoproteins,SNED1
Core matrisome,ECM glycoproteins,SPARC
Core matrisome,ECM glycoproteins,SPARCL1
Core matrisome,ECM glycoproteins,SPON1
Core matrisome,ECM glycoproteins,SPON2
Core matrisome,ECM glycoproteins,SPP1
Core matrisome,ECM glycoproteins,SRPX
Core matrisome,ECM glycoproteins,SRPX2
Core matrisome,ECM glycoproteins,SSPO
Core matrisome,ECM glycoproteins,SVEP1
Core matrisome,ECM glycoproteins,TECTA
